[{'AccelX': 0.12, 'AccelY': -0.52, 'AccelZ': 9.08, 'GyroX': -1.42, 'GyroY': 1.56, 'GyroZ': -1.71, 'Temp': 26.98}]
[{'AccelX': 0.12, 'AccelY': -0.53, 'AccelZ': 8.99, 'GyroX': -1.8, 'GyroY': 0.61, 'GyroZ': -2.23, 'Temp': 26.93}]
[{'AccelX': 0.07, 'AccelY': -0.6, 'AccelZ': 9.11, 'GyroX': -2.59, 'GyroY': -1.3, 'GyroZ': -2.79, 'Temp': 27.02}]
[{'AccelX': 0.1, 'AccelY': -0.54, 'AccelZ': 9.05, 'GyroX': -2.34, 'GyroY': 0.15, 'GyroZ': -2.47, 'Temp': 26.98}]
[{'AccelX': 0.08, 'AccelY': -0.61, 'AccelZ': 9.04, 'GyroX': -2.66, 'GyroY': 1.79, 'GyroZ': -1.64, 'Temp': 26.98}]
[{'AccelX': 0.15, 'AccelY': -0.54, 'AccelZ': 9.04, 'GyroX': -3.54, 'GyroY': 0.93, 'GyroZ': -1.33, 'Temp': 27.02}]
[{'AccelX': 0.26, 'AccelY': -0.62, 'AccelZ': 9.07, 'GyroX': -3.76, 'GyroY': -1.28, 'GyroZ': -1.81, 'Temp': 27.02}]
[{'AccelX': 0.22, 'AccelY': -0.67, 'AccelZ': 9.02, 'GyroX': -2.38, 'GyroY': 4.21, 'GyroZ': -2.11, 'Temp': 26.98}]
[{'AccelX': 0.1, 'AccelY': -0.71, 'AccelZ': 9.12, 'GyroX': -2.2, 'GyroY': 3.56, 'GyroZ': -2.44, 'Temp': 26.98}]
[{'AccelX': 0.11, 'AccelY': -0.75, 'AccelZ': 9.16, 'GyroX': -1.78, 'GyroY': 2.87, 'GyroZ': -1.68, 'Temp': 27.02}]
[{'AccelX': 0.28, 'AccelY': -0.68, 'AccelZ': 9.17, 'GyroX': -1.62, 'GyroY': 2.06, 'GyroZ': -1.58, 'Temp': 27.02}]
[{'AccelX': 0.18, 'AccelY': -0.62, 'AccelZ': 9.1, 'GyroX': -1.1, 'GyroY': 0.18, 'GyroZ': -2.44, 'Temp': 26.98}]
[{'AccelX': 0.11, 'AccelY': -0.68, 'AccelZ': 9.06, 'GyroX': -0.69, 'GyroY': 1.85, 'GyroZ': -1.37, 'Temp': 26.93}]
[{'AccelX': 0.05, 'AccelY': -0.62, 'AccelZ': 9.2, 'GyroX': -1.11, 'GyroY': -1.15, 'GyroZ': -0.78, 'Temp': 26.88}]
[{'AccelX': 0.15, 'AccelY': -0.59, 'AccelZ': 9.01, 'GyroX': -0.73, 'GyroY': 2.89, 'GyroZ': -0.41, 'Temp': 26.98}]
[{'AccelX': 0.16, 'AccelY': -0.58, 'AccelZ': 9.01, 'GyroX': -2.15, 'GyroY': 0.56, 'GyroZ': -1.37, 'Temp': 26.93}]
[{'AccelX': 0.14, 'AccelY': -0.76, 'AccelZ': 9.13, 'GyroX': -0.08, 'GyroY': 2.47, 'GyroZ': -0.98, 'Temp': 27.02}]
